,DRUG+INEFFECTIVE,NAUSEA,DEATH,FATIGUE,HEADACHE,DIARRHOEA,DYSPNOEA,PAIN,OFF+LABEL+USE,DIZZINESS,MALAISE,VOMITING,RASH,ASTHENIA,ARTHRALGIA,PYREXIA,FALL,PRURITUS,PNEUMONIA,PAIN+IN+EXTREMITY,ANXIETY,INSOMNIA,INJECTION+SITE+PAIN,DRUG+DOSE+OMISSION,WEIGHT+DECREASED,FEELING+ABNORMAL,DEPRESSION,COUGH,BACK+PAIN,ABDOMINAL+PAIN,MYOCARDIAL+INFARCTION,CONDITION+AGGRAVATED,WEIGHT+INCREASED,DECREASED+APPETITE,BLOOD+GLUCOSE+INCREASED,HYPERTENSION,CHEST+PAIN,SOMNOLENCE,DRUG+HYPERSENSITIVITY,ERYTHEMA,HYPOTENSION,ANAEMIA,ABDOMINAL+PAIN+UPPER,ALOPECIA,GAIT+DISTURBANCE,CEREBROVASCULAR+ACCIDENT,CONSTIPATION,MUSCLE+SPASMS,MYALGIA,TREMOR,HYPERSENSITIVITY,NASOPHARYNGITIS,PRODUCT+QUALITY+ISSUE,CONFUSIONAL+STATE,PARAESTHESIA,OVERDOSE,DRUG+INTERACTION,URTICARIA,URINARY+TRACT+INFECTION,HYPOAESTHESIA,PRODUCT+USE+ISSUE,INCORRECT+DOSE+ADMINISTERED,TOXICITY+TO+VARIOUS+AGENTS,BLOOD+PRESSURE+INCREASED,ABDOMINAL+DISCOMFORT,OEDEMA+PERIPHERAL,RENAL+FAILURE,DEHYDRATION,WRONG+TECHNIQUE+IN+PRODUCT+USAGE+PROCESS,HYPERHIDROSIS,LOSS+OF+CONSCIOUSNESS,VISION+BLURRED,INJECTION+SITE+ERYTHEMA,MEMORY+IMPAIRMENT,PRODUCT+USE+IN+UNAPPROVED+INDICATION,INFECTION,NO+ADVERSE+EVENT,ACUTE+KIDNEY+INJURY,PALPITATIONS,PERIPHERAL+SWELLING,MUSCULAR+WEAKNESS,FLUSHING,PSORIASIS,CHILLS,INAPPROPRIATE+SCHEDULE+OF+DRUG+ADMINISTRATION,SEPSIS,HOSPITALISATION,PULMONARY+EMBOLISM,CARDIAC+FAILURE+CONGESTIVE,HAEMOGLOBIN+DECREASED,NEUTROPENIA,THROMBOCYTOPENIA,GASTROINTESTINAL+HAEMORRHAGE,SYNCOPE,VISUAL+IMPAIRMENT,DRY+SKIN,INFLUENZA,HAEMORRHAGE,ABDOMINAL+DISTENSION,PRODUCT+DOSE+OMISSION
KP,25.0,8.0,,,,9.0,,,301.0,,,10.0,6.0,,,,,,20.0,120.0,,,39.0,73.0,,,3.0,,35.0,35.0,7.0,3.0,22.0,,,4.0,35.0,,29.0,,,,35.0,,,,1.0,3.0,2.0,,5.0,,23.0,6.0,,4.0,25.0,3.0,40.0,,301.0,57.0,81.0,,8.0,27.0,28.0,2.0,138.0,,165.0,,6.0,,301.0,17.0,,16.0,,12.0,,,,,282.0,9.0,,,30.0,,12.0,5.0,15.0,,6.0,9.0,,11.0,,58.0
BY,24.0,8.0,,3.0,14.0,,13.0,13.0,325.0,14.0,3.0,,12.0,22.0,3.0,,3.0,9.0,12.0,62.0,2.0,3.0,28.0,59.0,48.0,11.0,2.0,6.0,28.0,28.0,12.0,8.0,32.0,47.0,46.0,16.0,30.0,1.0,30.0,3.0,4.0,14.0,30.0,1.0,2.0,14.0,4.0,,1.0,1.0,4.0,,59.0,4.0,1.0,,24.0,2.0,40.0,3.0,325.0,54.0,,42.0,8.0,22.0,33.0,,152.0,2.0,90.0,,,5.0,325.0,22.0,187.0,23.0,2.0,12.0,1.0,,2.0,3.0,297.0,11.0,2.0,27.0,27.0,47.0,3.0,7.0,25.0,3.0,7.0,18.0,,19.0,7.0,81.0
UM,24.0,5.0,,10.0,9.0,,,27.0,,11.0,6.0,7.0,,,4.0,,2.0,4.0,,,6.0,8.0,40.0,,,11.0,3.0,,39.0,39.0,,,,,,,39.0,2.0,,3.0,,,39.0,4.0,12.0,7.0,,5.0,6.0,4.0,,1.0,30.0,5.0,2.0,,24.0,4.0,,4.0,,,,,11.0,,,2.0,,,,5.0,5.0,,,,96.0,,3.0,,,1.0,1.0,3.0,,,2.0,10.0,,,,,,,,14.0,2.0,,8.0,32.0
AL,22.0,,,3.0,,,11.0,12.0,,,2.0,,,,2.0,,2.0,6.0,,,1.0,1.0,26.0,,,7.0,,5.0,26.0,26.0,6.0,,,,,,28.0,4.0,26.0,5.0,6.0,,26.0,,2.0,8.0,1.0,,,,10.0,,23.0,,2.0,5.0,22.0,8.0,,4.0,,,22.0,,8.0,10.0,,1.0,,1.0,,,5.0,5.0,,,,,1.0,,,,,,,,,,,,,,,2.0,6.0,8.0,,,,
AM,,17.0,33.0,,,9.0,9.0,12.0,,,3.0,13.0,,9.0,3.0,,,3.0,6.0,,5.0,2.0,,,,,6.0,8.0,,,9.0,4.0,22.0,14.0,24.0,5.0,,,,,,,,,,5.0,,9.0,3.0,4.0,5.0,,,,1.0,,,,,1.0,,23.0,,24.0,,,22.0,,,1.0,,,,2.0,,,127.0,,,,1.0,,,,,,,11.0,21.0,,,4.0,,1.0,,,,,,
BA,,11.0,,12.0,7.0,6.0,,,258.0,5.0,2.0,9.0,10.0,7.0,,7.0,,6.0,,,2.0,,,44.0,26.0,17.0,,5.0,,,9.0,5.0,29.0,21.0,31.0,4.0,,2.0,,9.0,,8.0,,1.0,4.0,8.0,1.0,1.0,,2.0,6.0,2.0,,5.0,2.0,,,13.0,,3.0,258.0,28.0,18.0,31.0,10.0,22.0,,,,2.0,,2.0,11.0,2.0,258.0,9.0,104.0,,1.0,13.0,1.0,1.0,,1.0,221.0,,2.0,21.0,,24.0,3.0,9.0,17.0,,3.0,,,17.0,7.0,32.0
ME,,9.0,,12.0,7.0,10.0,,13.0,,,,,13.0,,3.0,,,6.0,,,,,38.0,,,,,5.0,36.0,36.0,6.0,,21.0,,26.0,7.0,36.0,,26.0,4.0,6.0,,36.0,2.0,,4.0,,,2.0,3.0,4.0,,,,,,,5.0,,1.0,,,,26.0,,,,,,,,,6.0,,,,109.0,21.0,2.0,,,1.0,,,,,,9.0,,,,,17.0,,,,,,7.0,
JM,,8.0,66.0,,7.0,9.0,7.0,22.0,337.0,,4.0,12.0,6.0,7.0,,9.0,5.0,,9.0,68.0,3.0,3.0,28.0,,17.0,9.0,,5.0,28.0,28.0,11.0,,,16.0,,,29.0,,,2.0,,10.0,34.0,,2.0,12.0,5.0,4.0,2.0,2.0,4.0,,,7.0,,3.0,,2.0,,3.0,337.0,,,,10.0,,,3.0,137.0,,71.0,,,4.0,337.0,16.0,,,,8.0,,,,1.0,283.0,5.0,1.0,31.0,20.0,17.0,3.0,11.0,36.0,6.0,5.0,,2.0,34.0,7.0,
ER,,7.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT,,7.0,,,,6.0,9.0,,,4.0,3.0,,5.0,,,,2.0,4.0,,,,,,,,,4.0,,,,8.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,3.0,,,,,,,9.0,,,3.0,,,,,,3.0,,,,,,,,,1.0,2.0,,,1.0,9.0,,,,,,3.0,4.0,,1.0,,,
